	PingPong			
t	x	vx	ax	
11,267	6,832E-30	-1,668E-30	4,838E-29
11,300	6,808E-30	3,172E-31	5,351E-29
11,333	6,853E-30	1,975E-30	3,415E-29
11,367	6,940E-30	2,617E-30	5,756E-32
11,400	7,028E-30	1,992E-30	-2,922E-29
11,433	7,072E-30	5,867E-31	-4,808E-29
11,467	7,067E-30	-1,190E-30	-4,716E-29
11,500	6,993E-30	-2,676E-30	-2,357E-29
11,533	6,889E-30	-2,796E-30	1,515E-29
11,567	6,807E-30	-1,621E-30	4,795E-29
11,600	6,780E-30	4,174E-31	5,931E-29
11,633	6,835E-30	2,441E-30	4,115E-29
11,667	6,943E-30	3,227E-30	2,238E-30
11,700	7,050E-30	2,555E-30	-3,622E-29
11,733	7,114E-30	7,951E-31	-6,139E-29
11,767	7,103E-30	-1,586E-30	-5,973E-29
11,800	7,008E-30	-3,319E-30	-2,675E-29
11,833	6,881E-30	-3,383E-30	2,115E-29
11,867	6,782E-30	-1,881E-30	5,835E-29
11,900	6,756E-30	5,673E-31	6,821E-29
11,933	6,820E-30	2,775E-30	4,219E-29
11,967	6,941E-30	3,455E-30	-4,856E-30
12,000	7,050E-30	2,405E-30	-4,112E-29
12,033	7,101E-30	6,186E-31	-5,840E-29
12,067	7,092E-30	-1,457E-30	-5,476E-29
12,100	7,004E-30	-3,158E-30	-2,503E-29
12,133	6,881E-30	-3,186E-30	2,552E-29
12,167	6,792E-30	-1,415E-30	6,032E-29
12,200	6,787E-30	9,637E-31	6,153E-29
12,233	6,856E-30	2,733E-30	3,146E-29
12,267	6,969E-30	3,125E-30	-9,456E-30
12,300	7,064E-30	2,051E-30	-4,374E-29
12,333	7,106E-30	1,663E-31	-5,885E-29
12,367	7,076E-30	-1,917E-30	-4,693E-29
12,400	6,978E-30	-3,078E-30	-1,249E-29
12,433	6,870E-30	-2,720E-30	2,876E-29
12,467	6,797E-30	-1,147E-30	5,645E-29
12,500	6,794E-30	1,107E-30	5,452E-29
12,533	6,870E-30	2,626E-30	2,522E-29
12,567	6,969E-30	2,745E-30	-1,187E-29
12,600	7,053E-30	1,826E-30	-3,769E-29
12,633	7,091E-30	1,944E-31	-5,320E-29
12,667	7,066E-30	-1,742E-30	-4,422E-29
12,700	6,975E-30	-2,889E-30	-1,458E-29
12,733	6,874E-30	-2,662E-30	2,721E-29
12,767	6,797E-30	-1,118E-30	5,907E-29
12,800	6,799E-30	1,372E-30	5,759E-29
12,833	6,889E-30	2,898E-30	2,196E-29
12,867	6,992E-30	2,759E-30	-1,769E-29
12,900	7,073E-30	1,690E-30	-4,213E-29
12,933	7,105E-30	-5,703E-32	-5,281E-29
12,967	7,069E-30	-1,905E-30	-4,295E-29
13,000	6,978E-30	-2,972E-30	-1,061E-29
13,033	6,871E-30	-2,648E-30	3,035E-29
13,067	6,802E-30	-9,151E-31	5,942E-29
13,100	6,810E-30	1,399E-30	5,503E-29
13,133	6,895E-30	2,872E-30	1,960E-29
13,167	7,001E-30	2,702E-30	-1,886E-29
13,200	7,075E-30	1,527E-30	-4,305E-29
13,233	7,103E-30	-1,523E-31	-5,221E-29
13,267	7,065E-30	-2,016E-30	-4,280E-29
13,300	6,969E-30	-3,084E-30	-6,397E-30
13,333	6,859E-30	-2,488E-30	3,439E-29
13,367	6,803E-30	-6,805E-31	5,856E-29
13,400	6,814E-30	1,435E-30	4,875E-29
13,433	6,898E-30	2,714E-30	1,514E-29
13,467	6,995E-30	2,407E-30	-2,157E-29
